選挙区,都道府県,都道府県コード,区番号,第一次産業比率,第二次産業比率,第三次産業比率,所得水準,平均年収（円）,失業率,大卒率,主要産業,経済課題,主要政策関心,生活費指数,高齢化依存率
長崎県1区,長崎県,42,1,0.04,0.2,0.76,低,3800000,0.028,0.31,造船、水産業、観光業,人口減少（全国上位）、離島振興、産業構造転換,地方創生、離島振興、平和政策,93.5,0.37
長崎県2区,長崎県,42,2,0.04,0.2,0.76,低,3800000,0.028,0.31,造船、水産業、観光業,人口減少（全国上位）、離島振興、産業構造転換,地方創生、離島振興、平和政策,93.5,0.37
長崎県3区,長崎県,42,3,0.04,0.2,0.76,低,3800000,0.028,0.31,造船、水産業、観光業,人口減少（全国上位）、離島振興、産業構造転換,地方創生、離島振興、平和政策,93.5,0.37
熊本県1区,熊本県,43,1,0.05,0.23,0.72,低,3900000,0.026,0.33,半導体製造、農業、観光業,熊本地震復興、TSMC進出への対応、インフラ整備,復興・防災、半導体産業振興、農業振興,94.0,0.34
熊本県2区,熊本県,43,2,0.05,0.23,0.72,低,3900000,0.026,0.33,半導体製造、農業、観光業,熊本地震復興、TSMC進出への対応、インフラ整備,復興・防災、半導体産業振興、農業振興,94.0,0.34
熊本県3区,熊本県,43,3,0.05,0.23,0.72,低,3900000,0.026,0.33,半導体製造、農業、観光業,熊本地震復興、TSMC進出への対応、インフラ整備,復興・防災、半導体産業振興、農業振興,94.0,0.34
熊本県4区,熊本県,43,4,0.05,0.23,0.72,低,3900000,0.026,0.33,半導体製造、農業、観光業,熊本地震復興、TSMC進出への対応、インフラ整備,復興・防災、半導体産業振興、農業振興,94.0,0.34
熊本県5区,熊本県,43,5,0.05,0.23,0.72,低,3900000,0.026,0.33,半導体製造、農業、観光業,熊本地震復興、TSMC進出への対応、インフラ整備,復興・防災、半導体産業振興、農業振興,94.0,0.34
大分県1区,大分県,44,1,0.03,0.25,0.72,低,3900000,0.026,0.32,石油化学、自動車部品、温泉観光,人口減少、過疎化、産業基盤維持,観光振興、産業振興、医療・介護,93.5,0.36
大分県2区,大分県,44,2,0.03,0.25,0.72,低,3900000,0.026,0.32,石油化学、自動車部品、温泉観光,人口減少、過疎化、産業基盤維持,観光振興、産業振興、医療・介護,93.5,0.36
大分県3区,大分県,44,3,0.03,0.25,0.72,低,3900000,0.026,0.32,石油化学、自動車部品、温泉観光,人口減少、過疎化、産業基盤維持,観光振興、産業振興、医療・介護,93.5,0.36
宮崎県1区,宮崎県,45,1,0.07,0.2,0.73,低,3600000,0.028,0.29,畜産業、農業、観光業,人口減少、低賃金、自然災害リスク,農業振興、防災、雇用創出,92.0,0.36
宮崎県2区,宮崎県,45,2,0.07,0.2,0.73,低,3600000,0.028,0.29,畜産業、農業、観光業,人口減少、低賃金、自然災害リスク,農業振興、防災、雇用創出,92.0,0.36
宮崎県3区,宮崎県,45,3,0.07,0.2,0.73,低,3600000,0.028,0.29,畜産業、農業、観光業,人口減少、低賃金、自然災害リスク,農業振興、防災、雇用創出,92.0,0.36
鹿児島県1区,鹿児島県,46,1,0.06,0.18,0.76,低,3650000,0.029,0.3,畜産業、農業、観光業,人口減少、離島振興、火山・台風リスク,農業振興、防災、離島振興,92.5,0.36
鹿児島県2区,鹿児島県,46,2,0.06,0.18,0.76,低,3650000,0.029,0.3,畜産業、農業、観光業,人口減少、離島振興、火山・台風リスク,農業振興、防災、離島振興,92.5,0.36
鹿児島県3区,鹿児島県,46,3,0.06,0.18,0.76,低,3650000,0.029,0.3,畜産業、農業、観光業,人口減少、離島振興、火山・台風リスク,農業振興、防災、離島振興,92.5,0.36
鹿児島県4区,鹿児島県,46,4,0.06,0.18,0.76,低,3650000,0.029,0.3,畜産業、農業、観光業,人口減少、離島振興、火山・台風リスク,農業振興、防災、離島振興,92.5,0.36
沖縄県1区,沖縄県,47,1,0.02,0.12,0.86,低,3350000,0.038,0.3,観光業、米軍基地関連、IT産業,基地問題、低賃金、子どもの貧困,基地問題、経済自立、子どもの貧困対策,94.5,0.24
沖縄県2区,沖縄県,47,2,0.02,0.12,0.86,低,3350000,0.038,0.3,観光業、米軍基地関連、IT産業,基地問題、低賃金、子どもの貧困,基地問題、経済自立、子どもの貧困対策,94.5,0.24
沖縄県3区,沖縄県,47,3,0.02,0.12,0.86,低,3350000,0.038,0.3,観光業、米軍基地関連、IT産業,基地問題、低賃金、子どもの貧困,基地問題、経済自立、子どもの貧困対策,94.5,0.24
